File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::SOn(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::SOff(),9,7,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SOLn(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::EO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::EOLn(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OISO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OISOLn(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OOSO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OOSOLn(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OIEO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OIEOLn(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OOEO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OOEOLn(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SOOI(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SOLnOI(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SOOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::SOLnOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::EOOI(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::EOLnOI(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::EOOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::EOLnOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OISOOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OISOLnOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OIEOOO(const char* text, ...)",12,10,7,1,2,0,0,0,
